"id","type","created","updated","title","external_id","doi_count","accession_number_count","ror_id","ror_name"
"8eeb4c7b-66eb-439a-88b5-e537cc0808c9",affiliation,2025-07-27 10:52:47.345 +0200,,Bangladesh Jute Research Institute,,,,https://ror.org/00prhpp43,
f899e3e7-3542-4280-ba0d-167ae2c7fe56,affiliation,2025-07-27 10:52:47.345 +0200,,Environmental Health,,,,https://ror.org/0590fg074,
"714c1ac7-b158-4356-95eb-bce55c1de30e",affiliation,2025-07-27 10:52:47.345 +0200,,National Institute of Immunology,,,,https://ror.org/04fhee747,
"97d19651-3c94-41f8-8c37-3b4adce67f2c",affiliation,2025-07-27 10:52:47.345 +0200,,WiCell,,,,https://ror.org/032ycrz75,
be372027-7ce7-480a-b69d-0847c0a52b5e,affiliation,2025-07-27 10:52:47.345 +0200,,École Nationale Supérieure des Mines de Paris,,,,https://ror.org/04y8cs423,
"37ceb8a4-9cd5-4214-a794-04a65e319c21",affiliation,2025-07-27 10:52:47.345 +0200,,University of South Carolina Upstate,,,,https://ror.org/00t9hhv14,
"3ee8f14a-7d54-4b3c-bd77-f2e9c6789784",affiliation,2025-07-27 10:52:47.345 +0200,,Institute of Post Graduate Medical Education and Research,,,,https://ror.org/00ysvbp68,
c23cd28e-b076-47b3-8f77-66074486bcd9,affiliation,2025-07-27 10:52:47.345 +0200,,Celularity (United States),,,,https://ror.org/0321yg140,
"5ed65a0d-6573-4fc8-b32f-691a99e75c71",affiliation,2025-07-27 10:52:47.345 +0200,,iStar,,,,https://ror.org/05mt98789,
bf9577c1-aacc-4184-b92a-aba3042ab73a,affiliation,2025-07-27 10:52:47.345 +0200,,bioMérieux (France),,,,https://ror.org/03hf69k85,
"9c96067a-11f4-4621-a24c-9e9251daeec7",affiliation,2025-07-27 10:52:47.345 +0200,,Moores Cancer Center,,,,https://ror.org/01qkmtm61,
"472d6bde-2cb7-49ae-8164-a27050c1d673",affiliation,2025-07-27 10:52:47.345 +0200,,Central Food Technological Research Institute,,,,https://ror.org/01d7fn555,
a0802b8a-bb97-41d3-be71-b59db501ca34,affiliation,2025-07-27 10:52:47.345 +0200,,New York State College of Veterinary Medicine,,,,https://ror.org/04r17kf39,
"6861513c-090b-493d-be38-148940c8aabc",affiliation,2025-07-27 10:52:47.345 +0200,,Military University of Technology in Warsaw,,,,https://ror.org/05fct5h31,
cdb5c5c2-b657-453b-974a-1ee30804bb98,affiliation,2025-07-27 10:52:47.345 +0200,,Hannover Re (Germany),,,,https://ror.org/05qc7pm63,
ccdcf775-7f05-4bc9-bba0-aeadc8a81691,affiliation,2025-07-27 10:52:47.345 +0200,,Pfizer (United Kingdom),,,,https://ror.org/04x4v8p40,
fa64c1ab-68e3-4fbe-bea7-fb09e65ee9e4,affiliation,2025-07-27 10:52:47.345 +0200,,National Institute of Occupational Health,,,,https://ror.org/04g3t6s80,
